campus,titulo,link,data,hora,tempo_leitura,resumo,imagem
Santa Inês,CEPEX 2026 anuncia abertura de inscrições e submissões de trabalhos,https://www.ifbaiano.edu.br/unidades/santaines/cepex-2026-anuncia-abertura-de-inscricoes-e-submissoes-de-trabalhos/,2026-07-23,14:35,1,Evento acontecerá entre os dias 20 e 22 de outubro no campus Guanambi do IF Baiano,https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/8056-Cepex-2026.webp
Reitoria,CEPEX 2026 anuncia abertura de inscrições e submissões de trabalhos,https://ifbaiano.edu.br/portal/blog/cepex-2026-anuncia-abertura-de-inscricoes-e-submissoes-de-trabalhos/,2026-07-23,13:46,1,Evento acontecerá entre os dias 20 e 22 de outubro no campus Guanambi do IF Baiano,https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/Cepex-2026.webp
Santa Inês,"Campus Santa Inês realizará Feira de Saúde, Cidadania e Autocuidado com programação em dois dias",https://www.ifbaiano.edu.br/unidades/santaines/campus-santa-ines-realizara-feira-de-saude-cidadania-e-autocuidado-no-dia-29-de-julho/,2026-07-23,12:51,1,"O IF Baiano – Campus Santa Inês promoverá a Feira de Saúde, Cidadania e Autocuidado 2026 em dois momentos. A programação principal será realizada no dia 29 de julho, durante todo o dia, com atividades...",https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/1900-Feira-de-saude.webp
Guanambi,II SIID abordou formação docente e temas da Educação Básica no IF Baiano – Campus Guanambi,https://www.ifbaiano.edu.br/unidades/guanambi/2026/07/22/ii-siid-abordou-formacao-docente-e-temas-da-educacao-basica-no-if-baiano-campus-guanambi/,2026-07-22,22:20,2,"O Instituto Federal Baiano (IF Baiano) – Campus Guanambi realizou, nos dias 21 e 22 de julho, o II Seminário Institucional de Iniciação à Docência (SIID). A atividade é vinculada ao Programa Instituci...",https://www.ifbaiano.edu.br/unidades/guanambi/files/2026/07/9621-WhatsApp-Image-2026-07-22-at-22.19.43-3.webp
Santa Inês,Aberta chamada pública para afastamento de servidores TAE em cursos de pós-graduação stricto sensu,https://www.ifbaiano.edu.br/unidades/santaines/aberta-chamada-publica-para-afastamento-de-servidores-tae-em-cursos-de-pos-graduacao-stricto-sensu/,2026-07-22,16:13,1,Inscrições vão até 30 de julho; edital contempla Reitoria e os 14 campi do IF Baiano,https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/7578-afastamento-pos-graduacao-TAE.webp
Santa Inês,IF Baiano abre consulta sobre regulamentos de TCC e de Atividades Complementares dos cursos de graduação,https://www.ifbaiano.edu.br/unidades/santaines/if-baiano-abre-consulta-sobre-regulamentos-de-tcc-e-de-atividades-complementares-dos-cursos-de-graduacao/,2026-07-22,12:59,1,Comunidade acadêmica poderá encaminhar contribuições até 20 de agosto por meio de formulários eletrônicos.,https://www.ifbaiano.edu.br/unidades/santaines/files/2026/07/5923-consulta-publica-regulamento-cursos-graduacao.webp
Guanambi,Lanchonete do Campus Guanambi passa a funcionar em novo espaço,https://www.ifbaiano.edu.br/unidades/guanambi/2026/07/22/lanchonete-do-campus-guanambi-passa-a-funcionar-em-novo-espaco/,2026-07-22,11:40,1,"A lanchonete do IF Baiano – Campus Guanambi passou a funcionar em um novo espaço, localizado ao lado do refeitório. A mudança ocorreu na última segunda-feira, 20 de julho, e tem como objetivo oferecer...",https://www.ifbaiano.edu.br/unidades/guanambi/files/2026/07/1178-Untitled-design.webp
Reitoria,Campus Itapetinga abre seleção para 74 vagas em três cursos de graduação,https://ifbaiano.edu.br/portal/blog/campus-itapetinga-abre-selecao-para-74-vagas-em-tres-cursos-de-graduacao/,2026-07-22,11:00,1,"A oportunidade é para os cursos de Bacharelado em Sistemas de Informação, Educação Física e Licenciatura em Letras Libras",https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/Novas-vagas-de-graduacao.webp
Reitoria,Aberta chamada pública para afastamento de servidores TAE em cursos de pós-graduação stricto sensu,https://ifbaiano.edu.br/portal/blog/aberta-chamada-publica-para-afastamento-de-servidores-tae-em-cursos-de-pos-graduacao-stricto-sensu/,2026-07-22,10:27,1,Inscrições vão até 30 de julho; edital contempla Reitoria e os 14 campi do IF Baiano,https://ifbaiano.edu.br/portal/wp-content/uploads/2026/07/afastamento-pos-graduacao-TAE.webp
Santa Inês,Campus Santa Inês divulga lista de espera para vagas de voleibol das ACCCs 2026,https://www.ifbaiano.edu.br/unidades/santaines/campus-santa-ines-divulga-lista-de-espera-para-vagas-de-voleibol-das-acccs-2026/,2026-07-21,12:52,1,"O IF Baiano – Campus Santa Inês divulga, nesta terça-feira (21), a lista de espera para as modalidades de voleibol de quadra feminino e masculino das Atividades Curriculares da Cultura Corporal (ACCCs...",
